# amide: ROI Analysis File - generated on Fri Aug 20 21:23:56 2010
#
# Study:	XXXXXXXXXXXX
#
# ROI:	tumor	Type:	ellipsoid
#   Data Set:	XXXXXXXXXXXX	Scaling Factor:	1
#   Frame 0, Gate 0
#      Value	      Weight	      X (mm)	      Y (mm)	      Z (mm)
     1.78654	           1	    -131.055	     10.7422	       29.75
     1.78652	           1	    -122.461	     23.6328	         8.5
     1.78449	           1	    -131.055	     15.0391	       38.25
     1.78435	           1	    -122.461	     27.9297	         8.5
     1.78429	           1	     -109.57	     23.6328	          17
     1.78281	           1	    -118.164	     15.0391	          17
      1.7826	           1	     -109.57	     23.6328	        25.5
     1.78237	           1	     -109.57	     32.2266	        42.5
     1.78161	           1	    -126.758	     27.9297	       12.75
     1.78098	           1	    -118.164	     40.8203	        4.25
     1.78001	           1	     -109.57	     23.6328	          34
      1.7799	           1	    -139.648	     6.44531	        25.5
     1.77882	           1	    -131.055	     15.0391	          17
     1.77853	           1	    -122.461	     19.3359	          17
     1.77812	           1	    -113.867	     32.2266	          51
      1.7779	           1	    -122.461	     32.2266	         8.5
     1.77775	           1	    -122.461	     19.3359	        42.5
     1.77614	           1	    -131.055	     32.2266	       29.75
     1.77597	           1	     -109.57	     40.8203	         8.5
     1.77578	           1	    -113.867	     19.3359	       46.75
     1.77568	           1	    -131.055	     10.7422	          17
     1.77559	           1	     -109.57	     19.3359	          34
     1.77504	           1	    -131.055	     19.3359	        42.5
     1.77481	           1	    -113.867	     27.9297	        42.5
      1.7738	           1	    -126.758	     23.6328	         8.5
     1.77377	           1	    -131.055	     19.3359	           0
     1.77318	           1	    -122.461	     15.0391	          17
     1.77315	           1	    -143.945	     15.0391	        25.5
     1.77296	           1	     -109.57	     27.9297	        25.5
      1.7724	           1	     -109.57	     23.6328	          51
     1.77228	           1	    -126.758	     19.3359	       12.75
     1.77209	           1	    -126.758	     10.7422	          17
     1.77186	           1	    -122.461	     15.0391	        42.5
     1.77096	           1	     -109.57	     15.0391	        25.5
     1.77029	           1	     -109.57	     32.2266	       29.75
     1.76719	           1	    -135.352	     10.7422	          17
     1.76707	           1	    -122.461	     32.2266	        4.25
     1.76673	           1	     -109.57	     36.5234	          17
