# amide: ROI Analysis File - generated on Fri Aug 20 14:32:50 2010
#
# Study:	XXXXXXXXXXXX
#
# ROI:	tumor	Type:	ellipsoid
#   Data Set:	XXXXXXXXXXXX	Scaling Factor:	1
#   Frame 0, Gate 0
#      Value	      Weight	      X (mm)	      Y (mm)	      Z (mm)
     7.47405	           1	     122.461	     40.8203	       29.75
     7.46258	           1	     100.977	     15.0391	      -38.25
     7.45226	           1	     139.648	     40.8203	         8.5
     7.45116	           1	     126.758	    -27.9297	       -25.5
     7.44511	           1	     131.055	     23.6328	         -17
     7.44337	           1	     152.539	    -6.44531	      -12.75
     7.44163	           1	     148.242	     32.2266	        25.5
     7.44062	           1	     126.758	     27.9297	           0
     7.43812	           1	     126.758	     40.8203	       38.25
     7.43769	           1	     152.539	    -6.44531	        -8.5
     7.42794	           1	     139.648	     32.2266	       46.75
     7.42741	           1	     139.648	     32.2266	        -8.5
     7.42658	           1	     156.836	     2.14844	      -29.75
     7.42142	           1	     139.648	     27.9297	       29.75
     7.42065	           1	     152.539	     6.44531	         -17
     7.42025	           1	     131.055	    -10.7422	      -29.75
     7.41982	           1	     118.164	    -23.6328	         -17
     7.41967	           1	     126.758	     32.2266	          17
     7.41604	           1	     131.055	     6.44531	      -29.75
      7.4113	           1	     148.242	     32.2266	        -8.5
      7.4034	           1	     122.461	     40.8203	          34
     7.40203	           1	     139.648	     32.2266	         8.5
     7.40019	           1	     126.758	     32.2266	        -8.5
     7.39776	           1	     135.352	     15.0391	      -38.25
     7.39683	           1	     126.758	     32.2266	       21.25
     7.39534	           1	     113.867	    -23.6328	      -21.25
     7.39368	           1	     135.352	     36.5234	         -17
      7.3874	           1	     113.867	    -23.6328	      -12.75
     7.38619	           1	     156.836	     6.44531	      -12.75
     7.38479	           1	     105.273	     15.0391	      -38.25
     7.38204	           1	     105.273	     27.9297	       38.25
     7.36825	           1	     156.836	     6.44531	        -8.5
     7.35731	           1	     143.945	     36.5234	      -12.75
     7.35611	           1	     143.945	     27.9297	       21.25
     7.35464	           1	     126.758	     27.9297	        -8.5
     7.35352	           1	     148.242	     6.44531	       -25.5
     7.35231	           1	     139.648	     32.2266	       -4.25
     7.35053	           1	     118.164	     36.5234	       29.75
     7.34779	           1	     143.945	     10.7422	      -38.25
     7.34516	           1	      109.57	     32.2266	        42.5
